date,discharge,precip,tmean,tmax,snowfall,et0
1990-01-01,14.899999618530272,1.8,-5.6,1.1,1.61,0.41
1990-01-02,14.800000190734863,0.0,-5.1,-1.5,0.0,0.44
1990-01-03,14.699999809265137,0.0,-3.9,1.8,0.0,0.52
1990-01-04,14.800000190734863,8.3,1.7,3.0,2.24,0.21
1990-01-05,15.0,0.0,-4.0,0.7,0.0,0.3
1990-01-06,15.0,0.8,-6.1,-3.0,0.7,0.39
1990-01-07,14.800000190734863,1.1,-6.9,0.6,0.77,0.35
1990-01-08,14.699999809265137,0.0,-1.2,2.6,0.0,0.46
1990-01-09,14.600000381469728,1.3,-0.3,3.1,0.56,0.47
1990-01-10,14.699999809265137,6.6,-0.3,0.4,4.69,0.42
1990-01-11,14.600000381469728,6.5,-2.9,0.9,4.62,0.28
1990-01-12,14.5,2.6,-4.4,-0.7,2.45,0.41
1990-01-13,14.5,0.0,-14.2,-9.3,0.0,0.37
1990-01-14,14.399999618530272,0.2,-14.5,-10.4,0.21,0.32
1990-01-15,14.300000190734863,0.2,-6.8,1.4,0.28,0.48
1990-01-16,14.199999809265137,0.9,-3.0,2.0,0.42,0.45
1990-01-17,14.199999809265137,12.5,0.4,6.6,0.0,0.21
1990-01-18,15.0,3.1,1.4,6.4,0.21,0.35
1990-01-19,15.5,0.0,-8.9,-4.2,0.07,0.62
1990-01-20,16.0,0.0,-8.6,-1.7,0.0,0.53
1990-01-21,16.600000381469727,3.4,-9.6,-4.1,2.52,0.35
1990-01-22,17.0,4.8,-7.2,-1.1,3.5,0.42
1990-01-23,17.100000381469727,0.8,-3.8,-0.4,0.63,0.46
1990-01-24,17.200000762939453,11.2,0.8,3.6,5.18,0.48
1990-01-25,17.5,2.8,0.6,4.4,0.0,0.64
1990-01-26,17.700000762939453,5.0,-1.3,5.4,1.26,0.6
1990-01-27,17.799999237060547,0.0,-3.2,3.8,0.0,0.88
1990-01-28,17.899999618530273,1.8,-1.3,5.1,0.63,1.1
1990-01-29,18.0,2.0,-5.5,-0.9,1.4,0.6
1990-01-30,18.0,3.9,-3.3,0.2,2.8,0.61
1990-01-31,18.0,0.0,-2.1,-0.4,0.0,0.65
1990-02-01,17.899999618530273,2.9,-2.1,3.3,0.7,0.39
1990-02-02,18.0,0.2,-6.3,2.9,0.21,0.45
1990-02-03,17.899999618530273,0.3,-15.0,-8.4,0.21,0.56
1990-02-04,17.700000762939453,3.4,-9.6,-5.7,2.45,0.64
1990-02-05,17.600000381469727,0.0,-10.8,-0.9,0.0,0.69
1990-02-06,17.600000381469727,0.0,-0.8,2.0,0.0,0.71
1990-02-07,17.299999237060547,0.0,-1.7,2.9,0.0,0.69
1990-02-08,17.100000381469727,0.0,-0.4,6.9,0.0,0.9
1990-02-09,17.100000381469727,5.4,4.3,5.5,0.0,0.65
1990-02-10,17.200000762939453,0.0,-2.0,0.4,0.56,0.76
1990-02-11,17.100000381469727,0.0,-7.4,-4.6,0.0,0.7
1990-02-12,17.100000381469727,0.0,-7.8,-4.0,0.0,0.57
1990-02-13,17.200000762939453,5.9,0.2,5.5,1.33,0.74
1990-02-14,17.299999237060547,1.0,-4.3,0.7,0.7,0.83
1990-02-15,17.299999237060547,9.6,-9.6,-8.1,6.72,0.39
1990-02-16,17.299999237060547,7.7,-6.9,-1.2,3.22,0.34
1990-02-17,16.899999618530273,0.9,-10.1,0.2,0.84,0.58
1990-02-18,16.399999618530273,0.0,-15.2,-2.5,0.0,0.72
1990-02-19,16.0,0.2,-4.0,0.5,0.42,0.82
1990-02-20,15.800000190734863,0.0,-13.0,-9.2,0.0,0.76
1990-02-21,15.300000190734863,0.0,-6.7,4.9,0.0,1.34
1990-02-22,15.100000381469728,13.7,0.6,3.4,8.89,0.65
1990-02-23,15.600000381469728,10.1,-0.7,0.9,7.07,0.75
1990-02-24,15.600000381469728,0.0,-9.4,-4.8,0.0,0.68
1990-02-25,15.199999809265137,1.3,-16.6,-10.6,1.12,0.57
1990-02-26,15.0,0.0,-20.0,-9.2,0.0,0.66
1990-02-27,14.800000190734863,3.9,-6.5,-1.1,3.01,0.71
1990-02-28,14.5,0.0,-9.8,-5.1,0.0,0.61
1990-03-01,14.100000381469728,0.0,-8.5,2.5,0.0,1.12
1990-03-02,13.800000190734863,0.0,0.0,2.7,0.0,1.44
1990-03-03,13.600000381469728,1.3,-6.5,-1.8,1.19,0.68
1990-03-04,13.399999618530272,0.0,-14.0,-9.6,0.0,0.81
1990-03-05,13.100000381469728,0.0,-15.2,-8.8,0.0,0.97
1990-03-06,13.0,0.0,-15.3,-9.7,0.0,0.87
1990-03-07,12.800000190734863,0.0,-13.8,-4.4,0.0,1.21
1990-03-08,12.399999618530272,0.0,-8.8,3.3,0.0,1.56
1990-03-09,12.199999809265137,0.0,-3.7,3.0,0.0,0.97
1990-03-10,12.100000381469728,0.0,2.4,6.4,0.0,0.86
1990-03-11,11.800000190734863,0.0,2.8,7.4,0.0,1.76
1990-03-12,12.399999618530272,15.4,2.5,3.9,0.0,0.45
1990-03-13,13.300000190734863,0.3,7.6,12.7,0.0,1.55
1990-03-14,14.600000381469728,0.0,7.8,18.3,0.0,2.01
1990-03-15,17.799999237060547,0.0,11.7,21.2,0.0,2.18
1990-03-16,21.700000762939453,5.0,11.2,15.1,0.0,0.71
1990-03-17,25.299999237060547,2.8,7.4,13.1,0.0,1.28
1990-03-18,30.899999618530277,0.3,1.5,3.7,0.63,1.6
1990-03-19,32.79999923706055,0.7,-0.2,2.9,0.63,1.16
1990-03-20,31.600000381469727,0.0,1.1,7.6,0.07,2.42
1990-03-21,30.399999618530277,0.0,1.0,7.7,0.0,2.38
1990-03-22,25.0,5.1,3.5,10.9,0.0,1.44
1990-03-23,21.0,10.4,-0.2,5.2,1.19,1.42
1990-03-24,22.100000381469727,0.0,-7.4,-4.0,0.0,1.5
1990-03-25,23.100000381469727,0.0,-3.7,4.1,0.0,2.14
1990-03-26,24.5,0.4,-3.0,-0.7,0.35,1.77
1990-03-27,21.5,0.0,-7.5,-1.3,0.0,1.74
1990-03-28,18.899999618530277,0.0,-3.2,3.5,0.0,2.23
1990-03-29,13.800000190734863,0.0,-1.3,5.6,0.0,2.51
1990-03-30,13.199999809265137,7.5,0.0,2.2,4.48,0.87
1990-03-31,14.899999618530272,0.0,3.0,8.7,0.0,1.79
1990-04-01,12.899999618530272,0.0,4.8,9.4,0.0,1.35
1990-04-02,13.199999809265137,4.9,3.2,6.4,0.0,0.54
1990-04-03,14.899999618530272,13.7,2.8,4.6,1.4,0.59
1990-04-04,22.0,10.7,1.5,2.2,2.87,0.31
1990-04-05,22.0,5.3,1.1,3.4,3.08,1.55
1990-04-06,22.200000762939453,0.0,-3.1,-0.8,0.0,1.83
1990-04-07,22.799999237060547,0.0,-3.3,-0.5,0.21,1.71
1990-04-08,23.799999237060547,0.0,-1.0,5.3,0.0,2.6
1990-04-09,23.200000762939453,1.6,2.6,9.6,0.0,1.69
1990-04-10,23.600000381469727,9.1,3.8,5.8,0.98,0.66
1990-04-11,22.799999237060547,5.4,0.8,4.8,3.43,2.23
1990-04-12,23.399999618530277,0.6,-2.4,0.0,0.91,1.91
1990-04-13,23.0,0.0,0.1,5.8,0.0,2.32
1990-04-14,22.399999618530277,5.2,1.9,7.3,0.77,1.2
1990-04-15,22.5,4.2,4.1,10.5,0.0,1.14
1990-04-16,22.100000381469727,0.0,2.3,9.0,0.0,2.9
1990-04-17,22.399999618530277,8.0,2.1,6.0,2.59,2.02
1990-04-18,22.100000381469727,0.2,0.4,5.1,0.28,2.23
1990-04-19,21.700000762939453,0.0,5.0,13.7,0.0,3.51
1990-04-20,20.899999618530277,4.8,7.7,10.4,0.0,1.03
1990-04-21,20.100000381469727,3.7,8.9,15.6,0.0,3.13
1990-04-22,19.899999618530277,0.0,8.8,17.3,0.0,3.45
1990-04-23,19.100000381469727,0.0,11.0,20.3,0.0,4.09
1990-04-24,17.200000762939453,0.0,13.3,20.9,0.0,4.2
1990-04-25,17.399999618530273,1.4,17.1,24.9,0.0,4.35
1990-04-26,18.5,0.0,18.2,26.5,0.0,4.7
1990-04-27,23.100000381469727,0.0,20.1,26.4,0.0,4.83
1990-04-28,27.399999618530277,0.0,20.0,28.7,0.0,5.19
1990-04-29,26.799999237060547,0.0,19.9,24.6,0.0,4.68
1990-04-30,33.599998474121094,0.2,16.3,20.1,0.0,2.21
1990-05-01,39.09999847412109,0.0,12.3,15.9,0.0,3.68
1990-05-02,36.79999923706055,0.0,4.9,8.3,0.0,3.25
1990-05-03,36.59999847412109,0.0,6.2,13.9,0.0,3.87
1990-05-04,32.29999923706055,0.0,9.0,16.4,0.0,3.48
1990-05-05,29.299999237060547,1.6,10.6,15.6,0.0,3.64
1990-05-06,29.600000381469727,2.0,8.5,13.2,0.0,3.47
1990-05-07,27.600000381469727,4.1,5.2,9.2,0.0,1.32
1990-05-08,25.0,3.6,9.3,18.8,0.0,2.63
1990-05-09,24.399999618530277,3.3,15.4,19.6,0.0,2.65
1990-05-10,23.600000381469727,6.8,14.6,18.8,0.0,2.59
1990-05-11,24.700000762939453,2.8,5.6,11.8,0.63,2.06
1990-05-12,24.799999237060547,0.0,8.0,14.3,0.0,3.57
1990-05-13,24.600000381469727,0.6,9.5,14.8,0.0,2.62
1990-05-14,23.700000762939453,0.0,11.8,19.7,0.0,4.34
1990-05-15,23.100000381469727,1.1,13.2,19.7,0.0,3.21
1990-05-16,23.399999618530277,5.9,12.2,15.4,0.0,1.68
1990-05-17,24.799999237060547,6.5,12.2,15.9,0.0,0.84
1990-05-18,27.399999618530277,5.9,8.0,10.2,0.0,1.32
1990-05-19,28.899999618530277,0.7,6.5,10.5,0.0,1.97
1990-05-20,36.59999847412109,6.1,7.4,9.8,0.0,0.95
1990-05-21,41.59999847412109,1.1,8.3,12.0,0.0,1.84
1990-05-22,41.0,0.0,10.5,15.3,0.0,3.15
1990-05-23,40.400001525878906,0.8,10.4,13.9,0.0,2.05
1990-05-24,38.29999923706055,0.0,11.8,16.2,0.0,2.6
1990-05-25,37.5,0.0,13.6,21.2,0.0,4.16
1990-05-26,37.5,0.0,15.4,21.8,0.0,4.47
1990-05-27,36.79999923706055,2.5,16.0,22.1,0.0,4.34
1990-05-28,30.200000762939453,0.0,15.9,23.2,0.0,5.02
1990-05-29,23.299999237060547,0.0,12.0,18.4,0.0,4.13
