date,discharge,precip,tmean,tmax,snowfall,et0
1990-01-01,21.5,1.6,-7.1,1.0,1.33,0.38
1990-01-02,21.299999237060547,0.0,-6.4,-2.0,0.0,0.4
1990-01-03,21.700000762939453,0.0,-2.8,0.7,0.0,0.49
1990-01-04,22.100000381469727,9.8,0.9,1.9,5.32,0.2
1990-01-05,22.299999237060547,0.0,-5.7,-1.4,0.42,0.29
1990-01-06,22.200000762939453,0.6,-7.5,-4.9,0.77,0.35
1990-01-07,22.100000381469727,1.1,-8.1,-1.4,0.91,0.37
1990-01-08,21.799999237060547,0.0,-1.7,0.7,0.0,0.45
1990-01-09,21.899999618530277,0.5,-0.5,2.1,0.35,0.45
1990-01-10,22.299999237060547,10.2,-3.0,-0.1,7.21,0.29
1990-01-11,22.100000381469727,4.2,-5.6,-0.5,2.94,0.26
1990-01-12,22.100000381469727,0.5,-5.1,-1.0,0.63,0.36
1990-01-13,21.899999618530277,0.0,-16.0,-10.7,0.0,0.34
1990-01-14,21.600000381469727,0.1,-18.5,-14.8,0.14,0.26
1990-01-15,21.399999618530277,1.5,-10.1,-2.6,1.19,0.41
1990-01-16,21.100000381469727,2.2,-4.7,-0.9,1.61,0.35
1990-01-17,21.200000762939453,5.9,-0.8,6.8,0.0,0.24
1990-01-18,21.600000381469727,0.8,1.0,5.4,0.07,0.43
1990-01-19,22.200000762939453,0.0,-9.9,-4.7,0.21,0.49
1990-01-20,22.700000762939453,0.0,-8.2,-3.9,0.0,0.51
1990-01-21,23.5,3.5,-13.9,-7.6,2.59,0.23
1990-01-22,24.0,2.8,-10.8,-3.5,2.17,0.35
1990-01-23,24.100000381469727,0.0,-5.9,-3.3,0.14,0.38
1990-01-24,24.5,7.9,-1.1,2.2,4.83,0.47
1990-01-25,24.799999237060547,1.9,-0.6,1.9,0.56,0.58
1990-01-26,25.899999618530277,3.9,-1.2,4.2,0.91,0.55
1990-01-27,26.100000381469727,0.0,-4.1,2.1,0.0,0.71
1990-01-28,26.299999237060547,1.2,-2.2,3.8,0.28,1.07
1990-01-29,26.700000762939453,0.4,-6.1,-1.8,0.35,0.66
1990-01-30,27.200000762939453,3.3,-4.2,-0.7,2.31,0.6
1990-01-31,27.100000381469727,0.0,-2.9,-2.0,0.0,0.58
1990-02-01,27.0,2.4,-2.4,1.9,1.33,0.4
1990-02-02,26.799999237060547,0.0,-11.3,1.6,0.0,0.38
1990-02-03,26.299999237060547,0.0,-19.3,-14.0,0.21,0.36
1990-02-04,25.700000762939453,2.6,-13.7,-9.7,1.82,0.44
1990-02-05,25.5,0.0,-11.7,-3.3,0.0,0.6
1990-02-06,25.399999618530277,0.0,-1.8,0.3,0.0,0.72
1990-02-07,25.399999618530277,0.0,-3.0,1.0,0.0,0.59
1990-02-08,25.399999618530277,0.0,-0.8,4.3,0.0,0.63
1990-02-09,25.200000762939453,3.8,3.1,4.8,0.07,0.72
1990-02-10,24.899999618530277,0.2,-2.2,0.1,0.56,0.7
1990-02-11,25.0,0.0,-8.7,-6.2,0.0,0.52
1990-02-12,25.100000381469727,0.0,-9.0,-5.5,0.0,0.56
1990-02-13,24.799999237060547,7.1,-1.5,3.5,2.52,0.64
1990-02-14,24.600000381469727,0.7,-8.3,0.4,0.56,0.67
1990-02-15,24.5,4.1,-13.1,-10.4,2.94,0.31
1990-02-16,24.299999237060547,8.1,-10.1,-8.0,4.97,0.23
1990-02-17,24.299999237060547,0.3,-14.7,-5.7,0.35,0.45
1990-02-18,24.100000381469727,0.0,-16.0,-5.4,0.0,0.64
1990-02-19,23.5,0.0,-5.1,-1.8,0.35,0.87
1990-02-20,23.200000762939453,0.0,-13.8,-10.3,0.35,0.73
1990-02-21,23.399999618530277,0.0,-6.3,2.1,0.0,1.32
1990-02-22,23.899999618530277,9.7,0.8,2.3,6.58,1.0
1990-02-23,24.700000762939453,9.2,-2.9,0.1,6.44,0.67
1990-02-24,24.299999237060547,0.0,-12.4,-7.4,0.0,0.55
1990-02-25,24.200000762939453,0.5,-19.5,-14.2,0.7,0.46
1990-02-26,23.799999237060547,0.0,-20.5,-11.9,0.0,0.59
1990-02-27,23.399999618530277,2.2,-7.6,-2.5,1.96,0.76
1990-02-28,23.200000762939453,0.0,-11.4,-5.5,0.0,0.72
1990-03-01,23.100000381469727,0.0,-9.8,-0.8,0.0,0.92
1990-03-02,22.700000762939453,0.0,-0.6,2.5,0.0,1.45
1990-03-03,22.600000381469727,1.4,-8.0,-2.3,1.26,0.74
1990-03-04,22.700000762939453,0.0,-16.0,-12.0,0.0,0.66
1990-03-05,22.100000381469727,0.0,-17.0,-12.6,0.0,0.75
1990-03-06,21.100000381469727,0.0,-17.6,-12.9,0.0,0.69
1990-03-07,20.399999618530277,0.0,-14.7,-6.3,0.0,1.07
1990-03-08,20.100000381469727,0.0,-9.9,0.8,0.0,1.38
1990-03-09,19.700000762939453,0.0,-4.6,2.4,0.0,1.1
1990-03-10,19.5,0.0,1.9,4.6,0.0,0.82
1990-03-11,19.600000381469727,0.0,1.0,4.5,0.0,1.62
1990-03-12,20.100000381469727,17.0,1.4,2.3,0.0,0.48
1990-03-13,20.799999237060547,0.2,5.5,8.2,0.0,1.11
1990-03-14,22.299999237060547,0.2,5.5,13.7,0.0,1.59
1990-03-15,24.700000762939453,0.0,8.4,13.1,0.0,1.82
1990-03-16,29.299999237060547,1.1,7.7,11.8,0.0,0.62
1990-03-17,34.900001525878906,0.5,5.7,12.0,0.0,1.31
1990-03-18,42.900001525878906,0.4,0.5,2.5,0.28,1.57
1990-03-19,52.400001525878906,0.0,-0.8,3.4,0.0,1.68
1990-03-20,63.5,0.0,-0.3,5.2,0.0,2.17
1990-03-21,77.0,0.0,-0.5,4.6,0.0,2.02
1990-03-22,90.1999969482422,2.1,2.3,9.7,0.21,1.5
1990-03-23,104.0,7.9,-1.7,4.0,1.4,1.26
1990-03-24,113.0,0.2,-8.0,-4.5,0.49,1.56
1990-03-25,119.0,0.0,-5.1,2.9,0.0,2.04
1990-03-26,122.0,0.0,-5.4,-1.3,0.14,1.49
1990-03-27,121.0,0.0,-8.7,-3.0,0.0,1.5
1990-03-28,118.0,0.0,-5.7,0.2,0.0,1.98
1990-03-29,113.0,0.0,-4.1,4.6,0.0,2.35
1990-03-30,109.0,5.4,-1.5,1.3,3.78,0.97
1990-03-31,104.0,0.0,2.3,9.0,0.0,2.18
1990-04-01,99.8000030517578,0.0,2.9,7.0,0.0,1.19
1990-04-02,96.0,2.3,2.4,4.1,0.07,0.6
1990-04-03,98.9000015258789,21.4,1.2,2.7,10.78,0.61
1990-04-04,111.0,12.8,0.8,1.6,7.42,0.38
1990-04-05,133.0,13.0,-0.6,1.2,9.17,1.28
1990-04-06,141.0,2.1,-4.4,-1.5,1.68,1.29
1990-04-07,139.0,0.0,-7.4,-2.3,0.0,1.3
1990-04-08,133.0,0.0,-4.8,2.6,0.0,2.11
1990-04-09,127.0,4.6,-0.4,5.2,0.28,1.64
1990-04-10,123.0,7.3,1.1,2.5,4.69,0.72
1990-04-11,122.0,2.2,-1.8,0.9,1.75,1.76
1990-04-12,119.0,0.0,-6.0,-1.4,0.07,1.56
1990-04-13,116.0,0.0,-2.3,4.6,0.0,2.16
1990-04-14,112.0,3.5,0.4,4.9,1.05,1.31
1990-04-15,110.0,4.5,1.8,6.3,1.75,1.21
1990-04-16,109.0,0.0,-0.1,4.8,0.0,2.43
1990-04-17,109.0,5.5,0.7,2.6,2.73,1.8
1990-04-18,109.0,0.4,-2.3,2.8,0.42,2.07
1990-04-19,110.0,0.1,3.1,10.7,0.0,3.2
1990-04-20,111.0,4.4,5.7,6.8,0.0,1.0
1990-04-21,114.0,1.3,5.1,11.5,0.0,2.29
1990-04-22,120.0,0.4,8.1,17.3,0.0,3.52
1990-04-23,127.0,0.0,9.3,18.4,0.0,3.92
1990-04-24,137.0,0.0,12.4,20.5,0.0,4.3
1990-04-25,148.0,6.7,16.4,25.2,0.0,4.08
1990-04-26,165.0,0.0,18.8,26.7,0.0,4.99
1990-04-27,173.0,0.0,19.4,25.1,0.0,4.83
1990-04-28,181.0,0.0,18.9,27.7,0.0,4.88
1990-04-29,190.0,0.0,19.2,24.7,0.0,4.88
1990-04-30,197.0,0.0,16.4,19.8,0.0,2.79
1990-05-01,194.0,0.0,12.0,15.5,0.0,3.53
1990-05-02,190.0,0.0,3.8,7.7,0.0,2.83
1990-05-03,179.0,0.0,5.9,13.7,0.0,3.8
1990-05-04,167.0,0.0,8.5,15.7,0.0,3.82
1990-05-05,154.0,0.0,10.0,14.5,0.0,3.65
1990-05-06,144.0,0.5,7.2,11.0,0.0,3.37
1990-05-07,131.0,0.8,6.1,8.9,0.0,2.13
1990-05-08,123.0,4.5,5.8,9.6,0.0,0.81
1990-05-09,117.0,6.0,12.2,15.8,0.0,2.54
1990-05-10,114.0,5.6,12.9,20.3,0.0,2.69
1990-05-11,113.0,2.0,5.4,11.2,0.35,1.98
1990-05-12,110.0,0.0,8.3,14.6,0.0,4.03
1990-05-13,106.0,0.0,9.5,15.1,0.0,3.07
1990-05-14,102.0,0.0,11.9,19.8,0.0,4.52
1990-05-15,97.8000030517578,1.5,12.0,16.9,0.0,2.48
1990-05-16,93.4000015258789,1.1,11.1,14.5,0.0,2.46
1990-05-17,91.4000015258789,13.7,10.7,14.7,0.0,1.01
1990-05-18,93.0,6.2,6.5,8.2,0.0,0.79
1990-05-19,95.0999984741211,1.2,5.0,9.0,0.0,1.31
1990-05-20,97.1999969482422,1.2,6.9,10.4,0.0,1.44
1990-05-21,103.0,0.1,7.9,11.7,0.0,1.91
1990-05-22,105.0,0.0,9.2,13.2,0.0,2.77
1990-05-23,106.0,0.0,9.1,12.2,0.0,1.98
1990-05-24,106.0,0.0,11.7,17.3,0.0,3.09
1990-05-25,104.0,0.0,13.8,20.5,0.0,4.25
1990-05-26,101.0,0.1,15.5,20.9,0.0,4.48
1990-05-27,98.9000015258789,1.7,15.1,20.9,0.0,4.06
1990-05-28,94.0999984741211,0.0,15.2,22.0,0.0,4.66
1990-05-29,88.9000015258789,0.0,8.9,14.0,0.0,4.2
1990-05-30,83.19999694824219,0.0,8.8,14.2,0.0,4.68
1990-05-31,78.19999694824219,0.0,12.5,19.8,0.0,5.37
1990-06-01,73.5,0.0,15.8,22.7,0.0,6.49
1990-06-02,70.0999984741211,4.2,17.2,24.2,0.0,3.77
1990-06-03,67.0,3.3,18.6,22.6,0.0,2.81
1990-06-04,64.19999694824219,0.5,9.7,16.7,0.0,3.04
1990-06-05,60.79999923706055,0.0,9.5,16.2,0.0,4.01
1990-06-06,58.20000076293945,2.1,12.3,18.5,0.0,2.68
1990-06-07,55.79999923706055,0.0,14.7,20.8,0.0,3.81
1990-06-08,52.70000076293945,0.7,15.7,22.3,0.0,3.77
1990-06-09,51.20000076293945,7.7,15.1,22.1,0.0,2.8
1990-06-10,49.70000076293945,3.0,14.2,18.3,0.0,2.2
1990-06-11,47.59999847412109,0.4,15.9,22.6,0.0,5.24
1990-06-12,46.5,0.0,17.0,22.9,0.0,5.02
1990-06-13,45.900001525878906,2.3,18.1,24.0,0.0,3.85
1990-06-14,44.79999923706055,1.6,21.8,26.4,0.0,3.72
1990-06-15,43.09999847412109,0.0,21.3,26.7,0.0,4.9
1990-06-16,41.29999923706055,0.0,20.6,27.3,0.0,5.36
1990-06-17,39.59999847412109,0.0,22.2,28.7,0.0,3.35
1990-06-18,40.59999847412109,9.2,21.0,24.6,0.0,3.73
1990-06-19,40.0,3.0,15.7,20.6,0.0,3.95
1990-06-20,39.20000076293945,0.0,17.3,24.4,0.0,5.34
1990-06-21,39.400001525878906,7.6,15.8,21.3,0.0,1.87
1990-06-22,40.0,0.2,17.9,23.0,0.0,4.05
1990-06-23,41.0,11.0,17.1,20.7,0.0,2.14
1990-06-24,42.09999847412109,2.6,13.5,16.1,0.0,1.05
1990-06-25,41.5,0.0,16.5,23.4,0.0,5.15
1990-06-26,42.0,1.0,17.6,24.4,0.0,4.39
1990-06-27,41.70000076293945,4.8,14.3,18.2,0.0,3.41
1990-06-28,40.09999847412109,0.0,13.4,19.3,0.0,4.43
1990-06-29,39.09999847412109,12.8,13.5,17.8,0.0,0.95
1990-06-30,38.400001525878906,2.9,14.0,19.4,0.0,2.63
1990-07-01,37.59999847412109,2.1,16.0,20.8,0.0,3.67
1990-07-02,36.09999847412109,0.0,17.5,23.9,0.0,5.0
1990-07-03,35.20000076293945,0.0,19.9,25.7,0.0,5.4
1990-07-04,34.29999923706055,1.3,22.5,27.1,0.0,3.63
1990-07-05,33.400001525878906,3.8,15.7,22.9,0.0,4.22
1990-07-06,32.099998474121094,0.0,13.2,17.0,0.0,2.99
1990-07-07,30.899999618530277,0.0,15.4,22.2,0.0,4.99
1990-07-08,30.299999237060547,8.6,16.9,21.0,0.0,3.16
1990-07-09,30.600000381469727,4.8,18.6,23.0,0.0,3.84
1990-07-10,29.399999618530277,0.0,17.4,20.3,0.0,4.43
1990-07-11,28.200000762939453,0.0,16.0,19.9,0.0,3.59
1990-07-12,27.0,0.0,15.6,20.1,0.0,4.91
1990-07-13,26.100000381469727,0.0,16.2,22.0,0.0,5.29
1990-07-14,25.100000381469727,0.1,19.1,25.5,0.0,5.07
1990-07-15,25.200000762939453,13.0,18.8,20.6,0.0,0.81
1990-07-16,25.0,0.3,19.0,21.9,0.0,3.31
1990-07-17,24.0,0.0,20.1,25.7,0.0,4.66
1990-07-18,23.200000762939453,0.1,21.9,25.0,0.0,4.04
1990-07-19,22.299999237060547,0.8,20.1,25.6,0.0,4.41
1990-07-20,22.5,9.6,19.5,23.2,0.0,2.53
1990-07-21,22.399999618530277,0.0,18.9,23.1,0.0,3.99
