date,discharge,precip,tmean,tmax,snowfall,et0
1990-01-01,38.900001525878906,2.2,-6.1,1.5,0.35,0.41
1990-01-02,46.5,0.0,-6.9,-2.7,0.0,0.41
1990-01-03,88.0,0.0,-3.8,-0.0,0.0,0.47
1990-01-04,105.0,7.0,0.6,1.9,2.03,0.2
1990-01-05,116.0,0.0,-5.0,-0.2,0.0,0.33
1990-01-06,132.0,0.0,-7.3,-4.2,0.42,0.37
1990-01-07,132.0,0.6,-8.4,-1.2,0.42,0.39
1990-01-08,130.0,0.0,-1.6,1.0,0.0,0.47
1990-01-09,122.0,1.2,-1.3,1.3,0.7,0.38
1990-01-10,112.0,9.2,-2.2,-0.6,6.37,0.29
1990-01-11,119.0,5.4,-5.4,-0.7,3.78,0.25
1990-01-12,129.0,0.5,-4.7,-1.1,0.77,0.4
1990-01-13,129.0,0.0,-15.4,-9.8,0.0,0.36
1990-01-14,129.0,0.0,-18.2,-15.1,0.07,0.26
1990-01-15,127.0,0.6,-10.5,-3.5,0.84,0.34
1990-01-16,128.0,0.8,-5.0,-1.7,0.56,0.36
1990-01-17,129.0,7.4,-1.7,5.7,0.0,0.23
1990-01-18,130.0,0.5,1.1,4.5,0.0,0.44
1990-01-19,133.0,0.0,-9.7,-4.3,0.0,0.52
1990-01-20,134.0,0.0,-8.9,-4.4,0.0,0.47
1990-01-21,134.0,3.8,-13.2,-6.2,2.73,0.2
1990-01-22,131.0,2.8,-10.7,-3.0,2.17,0.38
1990-01-23,128.0,0.0,-5.4,-2.7,0.14,0.41
1990-01-24,129.0,9.1,-0.8,2.3,3.99,0.5
1990-01-25,131.0,3.1,-0.6,2.2,0.21,0.61
1990-01-26,131.0,3.9,-1.4,4.0,0.84,0.63
1990-01-27,130.0,0.0,-4.3,1.8,0.0,0.78
1990-01-28,129.0,0.4,-1.9,3.6,0.07,1.12
1990-01-29,122.0,2.2,-7.2,-3.0,1.61,0.5
1990-01-30,110.0,6.7,-4.1,-0.9,4.69,0.58
1990-01-31,112.0,0.0,-3.4,-1.4,0.0,0.62
1990-02-01,111.0,1.0,-2.5,2.1,0.14,0.44
1990-02-02,111.0,0.0,-9.7,2.0,0.14,0.38
1990-02-03,112.0,0.1,-18.9,-13.1,0.07,0.39
1990-02-04,114.0,4.3,-13.1,-9.4,3.08,0.46
1990-02-05,113.0,0.0,-12.3,-4.1,0.0,0.57
1990-02-06,113.0,0.0,-1.9,0.9,0.0,0.69
