date,discharge,precip,tmean,tmax,snowfall,et0
1990-01-01,962.0,2.7,-7.1,0.2,1.19,0.4
1990-01-02,970.0,0.0,-6.1,-0.7,0.0,0.45
1990-01-03,931.0,0.0,-2.2,0.4,0.0,0.42
1990-01-04,963.0,11.7,1.2,2.1,6.37,0.2
1990-01-05,943.0,0.0,-5.3,-0.5,0.0,0.33
1990-01-06,1040.0,2.8,-7.6,-5.2,2.1,0.34
1990-01-07,1040.0,3.2,-9.4,-1.3,2.45,0.28
1990-01-08,1090.0,0.0,-1.0,0.9,0.0,0.49
1990-01-09,1120.0,0.5,-0.8,3.1,0.42,0.42
1990-01-10,1100.0,5.0,-2.7,0.1,3.64,0.31
1990-01-11,1090.0,5.2,-7.2,-0.9,3.71,0.21
1990-01-12,1030.0,1.0,-3.3,-0.4,1.05,0.38
1990-01-13,1110.0,0.0,-15.1,-8.4,0.0,0.36
1990-01-14,1150.0,0.0,-19.1,-17.0,0.0,0.24
1990-01-15,1230.0,1.6,-13.3,-5.4,1.26,0.31
1990-01-16,1200.0,0.5,-7.4,-2.4,0.42,0.34
1990-01-17,1200.0,5.2,-4.3,5.5,0.0,0.18
1990-01-18,1280.0,2.5,2.5,5.7,0.7,0.44
1990-01-19,1170.0,0.9,-8.8,-2.5,0.7,0.52
1990-01-20,1180.0,0.0,-8.6,-4.3,0.0,0.45
1990-01-21,1230.0,1.7,-13.8,-8.0,1.33,0.27
1990-01-22,1190.0,3.8,-12.0,-5.2,2.87,0.29
1990-01-23,1270.0,0.0,-5.5,-2.7,0.21,0.39
1990-01-24,1210.0,8.1,-0.9,3.4,4.69,0.46
1990-01-25,1270.0,1.8,0.3,2.2,0.63,0.56
1990-01-26,1220.0,5.7,0.4,5.0,0.77,0.6
1990-01-27,1260.0,0.0,-3.9,2.0,0.0,0.63
1990-01-28,1170.0,0.6,-0.4,4.9,0.0,1.2
1990-01-29,1260.0,0.0,-6.4,-2.7,0.07,0.56
1990-01-30,1290.0,2.5,-3.7,-0.8,1.68,0.61
1990-01-31,1310.0,0.0,-2.4,-1.7,0.0,0.55
1990-02-01,1270.0,2.5,-2.9,2.3,1.4,0.31
1990-02-02,1290.0,0.3,-11.6,1.9,0.07,0.43
1990-02-03,1330.0,0.0,-19.8,-15.3,0.14,0.34
1990-02-04,1370.0,1.5,-13.7,-9.5,1.26,0.44
1990-02-05,1370.0,0.0,-12.7,-5.1,0.0,0.51
1990-02-06,1370.0,0.0,-3.3,0.0,0.0,0.63
1990-02-07,1380.0,0.0,-3.9,0.5,0.0,0.53
1990-02-08,1380.0,0.0,-1.2,3.9,0.0,0.53
1990-02-09,1390.0,2.2,3.2,4.8,0.0,0.63
1990-02-10,1390.0,1.1,-0.8,0.9,0.98,0.76
1990-02-11,1390.0,0.0,-7.3,-5.3,0.0,0.53
1990-02-12,1380.0,0.0,-8.9,-5.1,0.0,0.59
1990-02-13,1360.0,10.2,-1.8,3.9,5.11,0.48
1990-02-14,1360.0,0.2,-8.2,1.2,0.21,0.74
1990-02-15,1270.0,1.0,-13.0,-9.1,0.98,0.39
1990-02-16,1240.0,8.2,-9.3,-7.6,5.74,0.31
1990-02-17,1290.0,1.0,-14.8,-8.0,0.84,0.45
1990-02-18,1170.0,0.0,-17.4,-7.6,0.0,0.55
1990-02-19,1220.0,0.0,-4.5,-1.5,0.49,0.88
1990-02-20,1250.0,0.4,-13.1,-8.0,0.49,0.78
1990-02-21,1090.0,0.0,-6.5,2.9,0.0,1.19
1990-02-22,1030.0,7.7,1.3,2.9,4.76,0.86
1990-02-23,1140.0,5.7,-2.0,0.9,3.99,0.75
1990-02-24,1200.0,0.0,-12.0,-7.1,0.0,0.59
1990-02-25,1170.0,0.0,-18.9,-13.7,0.14,0.48
1990-02-26,1120.0,0.0,-20.9,-12.3,0.0,0.53
1990-02-27,1030.0,3.9,-7.9,-1.8,3.08,0.71
1990-02-28,1060.0,0.0,-10.7,-4.9,0.0,0.78
1990-03-01,1010.0,0.0,-9.4,0.1,0.0,0.96
1990-03-02,1120.0,0.6,0.9,3.9,0.28,1.53
1990-03-03,1120.0,1.4,-7.2,-1.2,0.98,0.88
1990-03-04,985.0,0.0,-15.1,-11.0,0.0,0.67
1990-03-05,1020.0,0.0,-16.9,-12.7,0.0,0.71
1990-03-06,963.0,0.0,-17.1,-12.5,0.0,0.67
1990-03-07,913.0,0.0,-14.8,-6.3,0.0,1.01
1990-03-08,898.0,0.0,-9.6,0.2,0.0,1.28
1990-03-09,891.0,0.0,-5.3,1.0,0.0,1.3
1990-03-10,920.0,0.0,1.4,5.3,0.0,0.73
1990-03-11,883.0,0.0,1.7,7.0,0.0,1.67
1990-03-12,884.0,11.7,1.6,2.5,0.0,0.53
1990-03-13,924.0,1.3,3.8,7.0,0.0,0.91
1990-03-14,1290.0,3.2,4.0,9.9,0.0,1.02
1990-03-15,1420.0,0.0,6.9,14.6,0.0,1.9
1990-03-16,1380.0,3.0,6.2,10.1,0.0,0.66
1990-03-17,1490.0,0.1,4.9,10.5,0.0,1.21
1990-03-18,1720.0,1.6,1.6,3.9,0.84,1.5
1990-03-19,1910.0,0.0,-0.3,2.7,0.07,1.54
1990-03-20,1820.0,0.0,-1.1,4.2,0.0,1.87
1990-03-21,1850.0,0.0,-1.5,2.6,0.0,1.52
1990-03-22,2020.0,2.7,1.5,7.5,0.63,1.2
1990-03-23,2100.0,8.3,-1.0,4.5,1.26,1.2
1990-03-24,2120.0,0.0,-7.1,-3.6,0.0,1.46
1990-03-25,2110.0,0.0,-4.5,3.1,0.0,1.9
1990-03-26,2140.0,0.0,-5.3,0.0,0.0,1.39
1990-03-27,2100.0,0.0,-8.5,-3.0,0.0,1.34
1990-03-28,2110.0,0.0,-5.6,-1.3,0.0,1.7
1990-03-29,1970.0,0.0,-6.5,0.7,0.0,1.82
1990-03-30,1890.0,6.1,-2.7,0.1,4.27,0.86
1990-03-31,1850.0,0.0,1.1,5.0,0.0,1.86
1990-04-01,1820.0,0.0,2.3,7.9,0.0,1.29
1990-04-02,1770.0,0.3,3.2,5.7,0.0,0.83
1990-04-03,1670.0,12.2,2.2,3.5,2.17,0.49
1990-04-04,1880.0,11.7,1.9,2.7,2.73,0.32
1990-04-05,2060.0,14.3,0.4,2.1,9.52,1.32
1990-04-06,2020.0,1.2,-2.7,0.0,1.47,1.39
1990-04-07,2020.0,0.0,-5.8,-0.8,0.0,1.34
1990-04-08,1980.0,0.0,-3.0,4.2,0.0,2.13
1990-04-09,1970.0,3.1,0.6,6.4,0.77,1.53
1990-04-10,1910.0,7.5,1.7,4.0,4.48,0.95
1990-04-11,1980.0,0.2,-0.3,2.3,0.63,1.99
1990-04-12,1990.0,0.0,-4.2,0.5,0.0,1.77
1990-04-13,1870.0,0.0,-0.1,6.6,0.0,2.36
1990-04-14,1820.0,2.1,1.0,5.8,0.14,1.31
1990-04-15,1730.0,3.9,2.7,7.7,1.75,1.24
1990-04-16,1730.0,0.0,0.9,4.5,0.0,2.48
1990-04-17,1760.0,6.0,1.8,3.0,2.38,1.92
1990-04-18,1750.0,0.4,-0.6,4.4,0.07,2.39
1990-04-19,1720.0,0.0,3.5,11.7,0.0,3.19
1990-04-20,1670.0,2.6,5.9,7.4,0.0,0.92
1990-04-21,1730.0,0.5,5.0,10.0,0.0,2.07
1990-04-22,1760.0,0.5,6.9,14.8,0.0,3.01
1990-04-23,1850.0,0.0,9.1,18.2,0.0,3.91
1990-04-24,2020.0,0.0,12.6,21.5,0.0,4.09
1990-04-25,2110.0,10.0,16.0,25.4,0.0,3.63
1990-04-26,2280.0,0.8,19.2,28.0,0.0,4.85
1990-04-27,2400.0,0.0,20.3,26.6,0.0,4.77
1990-04-28,2420.0,0.0,18.1,26.6,0.0,4.13
1990-04-29,2540.0,0.0,19.9,26.4,0.0,5.09
1990-04-30,2610.0,0.0,17.8,21.1,0.0,3.11
1990-05-01,2760.0,0.0,13.8,17.5,0.0,3.63
1990-05-02,2820.0,0.0,5.5,8.9,0.0,2.89
